R0,initI,total_sim,total_blip,blip_prob
1.8000000000000003,300.0,10000,0,0.0
1.8000000000000003,400.0,10000,0,0.0
1.85,1.0,6412,1391,0.2169369931378665
1.85,2.0,8543,1159,0.1356666276483671
1.85,3.0,9386,737,0.07852120178989985
1.85,4.0,9732,450,0.04623921085080148
1.85,5.0,9877,278,0.028146198238331477
1.85,6.0,9927,160,0.016117658910043315
1.85,7.0,9970,93,0.009327983951855566
1.85,8.0,9983,51,0.005108684764098969
1.85,9.0,9992,29,0.0029023218574859887
1.85,10.0,9990,12,0.0012012012012012011
1.85,15.0,10000,0,0.0
1.85,20.0,10000,0,0.0
1.85,30.0,10000,0,0.0
1.85,40.0,10000,0,0.0
1.85,50.0,10000,0,0.0
1.85,60.0,10000,0,0.0
1.85,70.0,10000,0,0.0
1.85,80.0,10000,0,0.0
1.85,90.0,10000,0,0.0
1.85,100.0,10000,0,0.0
1.85,200.0,10000,0,0.0
1.85,300.0,10000,0,0.0
1.85,400.0,10000,0,0.0
1.9,1.0,6515,1348,0.2069071373752878
1.9,2.0,8552,1051,0.12289522918615528
1.9,3.0,9426,651,0.06906429026098027
1.9,4.0,9744,375,0.03848522167487685
1.9,5.0,9868,217,0.021990271584920958
1.9,6.0,9950,95,0.009547738693467337
1.9,7.0,9980,68,0.006813627254509018
1.9,8.0,9991,43,0.004303873486137524
1.9,9.0,9995,20,0.002001000500250125
1.9,10.0,10000,12,0.0012
1.9,15.0,10000,0,0.0
1.9,20.0,10000,0,0.0
1.9,30.0,10000,0,0.0
1.9,40.0,10000,0,0.0
1.9,50.0,10000,0,0.0
1.9,60.0,10000,0,0.0
1.9,70.0,10000,0,0.0
1.9,80.0,10000,0,0.0
1.9,90.0,10000,0,0.0
1.9,100.0,10000,0,0.0
1.9,200.0,10000,0,0.0
1.9,300.0,10000,0,0.0
1.9,400.0,10000,0,0.0
1.95,1.0,6575,1331,0.20243346007604562
1.95,2.0,8661,1021,0.11788477081168457
1.95,3.0,9443,600,0.06353912951392567
1.95,4.0,9764,366,0.03748463744367063
1.95,5.0,9892,178,0.017994338859684593
1.95,6.0,9959,110,0.011045285671252134
1.95,7.0,9987,52,0.005206768799439271
1.95,8.0,9992,29,0.0029023218574859887
1.95,9.0,9994,11,0.0011006603962377428
1.95,10.0,9999,4,4.0004000400040005e-4
1.95,15.0,10000,0,0.0
1.95,20.0,10000,0,0.0
1.95,30.0,10000,0,0.0
1.95,40.0,10000,0,0.0
1.95,50.0,10000,0,0.0
1.95,60.0,10000,0,0.0
1.95,70.0,10000,0,0.0
1.95,80.0,10000,0,0.0
1.95,90.0,10000,0,0.0
1.95,100.0,10000,0,0.0
1.95,200.0,10000,0,0.0
1.95,300.0,10000,0,0.0
1.95,400.0,10000,0,0.0
2.0000000000000004,1.0,6663,1213,0.1820501275701636
2.0000000000000004,2.0,8756,890,0.10164458656920969
2.0000000000000004,3.0,9448,553,0.05853090601185436
2.0000000000000004,4.0,9788,301,0.030751941152431548
2.0000000000000004,5.0,9901,159,0.01605898394101606
2.0000000000000004,6.0,9964,86,0.008631071858691289
2.0000000000000004,7.0,9988,44,0.004405286343612335
2.0000000000000004,8.0,9989,23,0.002302532786064671
2.0000000000000004,9.0,9998,12,0.001200240048009602
2.0000000000000004,10.0,10000,6,6e-4
2.0000000000000004,15.0,10000,0,0.0
2.0000000000000004,20.0,10000,0,0.0
2.0000000000000004,30.0,10000,0,0.0
2.0000000000000004,40.0,10000,0,0.0
2.0000000000000004,50.0,10000,0,0.0
2.0000000000000004,60.0,10000,0,0.0
2.0000000000000004,70.0,10000,0,0.0
2.0000000000000004,80.0,10000,0,0.0
2.0000000000000004,90.0,10000,0,0.0
2.0000000000000004,100.0,10000,0,0.0
2.0000000000000004,200.0,10000,0,0.0
2.0000000000000004,300.0,10000,0,0.0
2.0000000000000004,400.0,10000,0,0.0
2.0500000000000003,1.0,6703,1160,0.17305684022079665
2.0500000000000003,2.0,8782,879,0.10009109542245502
2.0500000000000003,3.0,9502,542,0.05704062302673121
2.0500000000000003,4.0,9816,279,0.028422982885085574
2.0500000000000003,5.0,9917,124,0.012503781385499646
2.0500000000000003,6.0,9959,91,0.009137463600763129
2.0500000000000003,7.0,9983,46,0.0046078333166382855
2.0500000000000003,8.0,9992,22,0.002201761409127302
2.0500000000000003,9.0,9999,11,0.0011001100110011
2.0500000000000003,10.0,9996,6,6.002400960384153e-4
2.0500000000000003,15.0,10000,0,0.0
2.0500000000000003,20.0,10000,0,0.0
2.0500000000000003,30.0,10000,0,0.0
2.0500000000000003,40.0,10000,0,0.0
2.0500000000000003,50.0,10000,0,0.0
2.0500000000000003,60.0,10000,0,0.0
2.0500000000000003,70.0,10000,0,0.0
2.0500000000000003,80.0,10000,0,0.0
2.0500000000000003,90.0,10000,0,0.0
2.0500000000000003,100.0,10000,0,0.0
2.0500000000000003,200.0,10000,0,0.0
2.0500000000000003,300.0,10000,0,0.0
2.0500000000000003,400.0,10000,0,0.0
2.1,1.0,6796,1104,0.16244849911712772
2.1,2.0,8827,788,0.08927155318907896
2.1,3.0,9447,444,0.04699904731660845
2.1,4.0,9816,208,0.021189894050529748
2.1,5.0,9918,112,0.011292599314377899
2.1,6.0,9964,73,0.00732637494981935
2.1,7.0,9989,22,0.0022024226649314245
2.1,8.0,9992,16,0.0016012810248198558
2.1,9.0,9999,7,7.000700070007e-4
2.1,10.0,9999,2,2.0002000200020003e-4
2.1,15.0,9999,0,0.0
2.1,20.0,10000,0,0.0
2.1,30.0,10000,0,0.0
2.1,40.0,10000,0,0.0
2.1,50.0,10000,0,0.0
2.1,60.0,10000,0,0.0
2.1,70.0,10000,0,0.0
2.1,80.0,10000,0,0.0
2.1,90.0,10000,0,0.0
2.1,100.0,10000,0,0.0
2.1,200.0,10000,0,0.0
2.1,300.0,10000,0,0.0
2.1,400.0,10000,0,0.0
2.1500000000000004,1.0,6816,1069,0.1568368544600939
2.1500000000000004,2.0,8886,739,0.08316452847175332
2.1500000000000004,3.0,9567,427,0.04463259119891293
2.1500000000000004,4.0,9813,227,0.02313257923163151
2.1500000000000004,5.0,9930,110,0.011077542799597181
2.1500000000000004,6.0,9967,48,0.004815892445068727
2.1500000000000004,7.0,9990,33,0.003303303303303303
2.1500000000000004,8.0,9995,12,0.001200600300150075
2.1500000000000004,9.0,9994,6,6.003602161296778e-4
2.1500000000000004,10.0,10000,2,2e-4
2.1500000000000004,15.0,10000,0,0.0
2.1500000000000004,20.0,10000,0,0.0
2.1500000000000004,30.0,10000,0,0.0
2.1500000000000004,40.0,10000,0,0.0
2.1500000000000004,50.0,10000,0,0.0
2.1500000000000004,60.0,10000,0,0.0
2.1500000000000004,70.0,10000,0,0.0
2.1500000000000004,80.0,10000,0,0.0
2.1500000000000004,90.0,10000,0,0.0
2.1500000000000004,100.0,10000,0,0.0
2.1500000000000004,200.0,10000,0,0.0
2.1500000000000004,300.0,10000,0,0.0
2.1500000000000004,400.0,10000,0,0.0
